Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 5,853","Kolkata to New Delhi , 26 May",15:20,17:45,Non stop,Vistara,2021-05-16 18:56:03.460637
" 5,902","Kolkata to New Delhi , 26 May",11:40,18:10,1 stop via Bagdogra,Spicejet,2021-05-16 18:56:03.460637
" 6,126","Kolkata to New Delhi , 26 May",06:20,08:45,Non stop,Spicejet,2021-05-16 18:56:03.460637
" 6,126","Kolkata to New Delhi , 26 May",20:55,23:30,Non stop,Spicejet,2021-05-16 18:56:03.460637
" 7,688","Kolkata to Mumbai , 26 May",09:10,12:00,Non stop,Spicejet,2021-05-16 18:56:23.485509
" 7,688","Kolkata to Mumbai , 26 May",19:25,22:15,Non stop,Spicejet,2021-05-16 18:56:23.485509
" 6,126","Kolkata to Bengaluru , 26 May",06:55,09:40,Non stop,Spicejet,2021-05-16 18:56:29.418382
" 6,126","Kolkata to Bengaluru , 26 May",21:30,00:20,Non stop,Spicejet,2021-05-16 18:56:29.418382
" 6,428","Kolkata to Hyderabad , 26 May",22:00,23:55,Non stop,Spicejet,2021-05-16 18:56:52.027716
" 5,900","Kolkata to Chennai , 26 May",22:00,06:55,1 stop via Hyderabad,Spicejet,2021-05-16 18:57:14.786026
" 6,126","Kolkata to Chennai , 26 May",10:10,12:30,Non stop,Spicejet,2021-05-16 18:57:14.786026
" 7,689","Kolkata to Kochi , 26 May",19:25,20:05,1 stop via Mumbai,Spicejet,2021-05-16 18:57:47.950449
" 8,633","Kolkata to Goa , 26 May",10:10,14:50,1 stop via Chennai,Spicejet,2021-05-16 18:58:10.660040
" 8,633","Kolkata to Goa , 26 May",09:10,17:05,1 stop via Mumbai,Spicejet,2021-05-16 18:58:10.660040
" 8,633","Kolkata to Goa , 26 May",22:00,14:50,1 stop via Hyderabad,Spicejet,2021-05-16 18:58:10.660040
" 7,460","Kolkata to Pune , 26 May",22:00,08:05,1 stop via Hyderabad,Spicejet,2021-05-16 18:58:33.391279
" 7,460","Kolkata to Pune , 26 May",10:10,12:20,1 stop via Chennai,Spicejet,2021-05-16 18:58:33.391279
" 7,688","Kolkata to Pune , 26 May",12:10,14:40,Non stop,Spicejet,2021-05-16 18:58:33.391279
" 4,808","Kolkata to Guwahati , 26 May",06:25,15:25,1 stop via Silchar,Spicejet,2021-05-16 18:58:56.186716
" 5,023","Kolkata to Bagdogra , 26 May",11:40,12:50,Non stop,Spicejet,2021-05-16 19:01:20.734050
" 7,378","Kolkata to Srinagar , 26 May",06:20,11:55,1 stop via New Delhi,Spicejet,2021-05-16 19:03:08.359935
" 7,378","Kolkata to Srinagar , 26 May",20:55,08:10,1 stop via New Delhi,Spicejet,2021-05-16 19:03:08.359935
" 7,579","Kolkata to Amritsar , 26 May",15:20,09:20,1 stop via New Delhi,Vistara,2021-05-16 19:04:18.431384
" 9,940","Kolkata to Amritsar , 26 May",06:20,20:50,1 stop via New Delhi,Spicejet,2021-05-16 19:04:18.431384
