Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 5,853","Kolkata to New Delhi , 20 May",15:20,17:45,Non stop,Vistara,2021-05-14 11:48:32.243120
" 5,902","Kolkata to New Delhi , 20 May",11:40,18:10,1 stop via Bagdogra,Spicejet,2021-05-14 11:48:32.243120
" 5,902","Kolkata to New Delhi , 20 May",06:50,14:10,1 stop via Bagdogra,Spicejet,2021-05-14 11:48:32.243120
" 6,126","Kolkata to New Delhi , 20 May",06:20,08:45,Non stop,Spicejet,2021-05-14 11:48:32.243120
" 6,126","Kolkata to New Delhi , 20 May",22:00,00:35,Non stop,Spicejet,2021-05-14 11:48:32.243120
" 8,526","Kolkata to Mumbai , 20 May",15:20,15:00,1 stop via New Delhi,Vistara,2021-05-14 11:49:17.425171
" 7,460","Kolkata to Mumbai , 20 May",08:50,14:55,1 stop via Goa,Spicejet,2021-05-14 11:49:17.425171
" 6,126","Kolkata to Bengaluru , 20 May",06:55,09:40,Non stop,Spicejet,2021-05-14 11:50:02.599888
" 6,126","Kolkata to Bengaluru , 20 May",21:30,00:20,Non stop,Spicejet,2021-05-14 11:50:02.599888
" 6,126","Kolkata to Bengaluru , 20 May",08:50,16:35,1 stop via Goa,Spicejet,2021-05-14 11:50:02.599888
" 6,200","Kolkata to Hyderabad , 20 May",07:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-14 11:50:49.824668
" 5,900","Kolkata to Chennai , 20 May",06:55,20:55,1 stop via Bengaluru,Spicejet,2021-05-14 11:51:34.954785
" 8,633","Kolkata to Goa , 20 May",21:30,11:05,1 stop via Bengaluru,Spicejet,2021-05-14 11:53:28.380257
" 8,843","Kolkata to Goa , 20 May",08:50,11:35,Non stop,Spicejet,2021-05-14 11:53:28.380257
" 4,808","Kolkata to Guwahati , 20 May",06:25,15:25,1 stop via Silchar,Spicejet,2021-05-14 11:54:59.365824
" 5,023","Kolkata to Bagdogra , 20 May",11:40,12:50,Non stop,Spicejet,2021-05-14 11:57:27.800987
" 5,023","Kolkata to Bagdogra , 20 May",06:50,08:25,Non stop,Spicejet,2021-05-14 11:57:27.800987
" 8,142","Kolkata to Srinagar , 20 May",15:20,12:05,1 stop via New Delhi,Vistara,2021-05-14 11:58:45.714031
" 7,378","Kolkata to Srinagar , 20 May",06:20,11:55,1 stop via New Delhi,Spicejet,2021-05-14 11:58:45.714031
" 7,378","Kolkata to Srinagar , 20 May",22:00,08:10,1 stop via New Delhi,Spicejet,2021-05-14 11:58:45.714031
" 7,579","Kolkata to Amritsar , 20 May",15:20,14:50,1 stop via New Delhi,Vistara,2021-05-14 11:59:53.608564
" 9,940","Kolkata to Amritsar , 20 May",06:20,20:50,1 stop via New Delhi,Spicejet,2021-05-14 11:59:53.608564
" 9,940","Kolkata to Amritsar , 20 May",22:00,20:50,1 stop via New Delhi,Spicejet,2021-05-14 11:59:53.608564
" 5,820","Kolkata to Mangalore , 20 May",21:30,08:05,1 stop via Bengaluru,Spicejet,2021-05-14 12:01:01.568816
" 5,820","Kolkata to Mangalore , 20 May",06:55,18:10,1 stop via Bengaluru,Spicejet,2021-05-14 12:01:01.568816
" 5,853","Kolkata to Port Blair , 20 May",09:00,11:20,Non stop,Vistara,2021-05-14 12:01:24.056244
" 7,892","Kochi to New Delhi , 20 May",19:30,22:40,Non stop,Vistara,2021-05-14 12:02:18.437560
" 5,568","Kochi to New Delhi , 20 May",20:35,09:35,1 stop via Mumbai,Spicejet,2021-05-14 12:02:18.437560
" 5,823","Kochi to Mumbai , 20 May",20:35,22:55,Non stop,Spicejet,2021-05-14 12:02:40.963857
" 9,677","Kochi to Kolkata , 20 May",19:30,09:35,1 stop via New Delhi,Vistara,2021-05-14 12:04:11.271693
" 7,084","Kochi to Kolkata , 20 May",20:35,08:35,1 stop via Mumbai,Spicejet,2021-05-14 12:04:11.271693
" 9,677","Kochi to Pune , 20 May",19:30,12:35,1 stop via New Delhi,Vistara,2021-05-14 12:04:56.250876
" 9,395","Kochi to Guwahati , 20 May",19:30,12:05,1 stop via New Delhi,Vistara,2021-05-14 12:05:10.128941
" 6,553","Kochi to Guwahati , 20 May",20:35,16:45,1 stop via Mumbai,Spicejet,2021-05-14 12:05:10.128941
" 7,085","Kochi to Jaipur , 20 May",20:35,08:05,1 stop via Mumbai,Spicejet,2021-05-14 12:05:34.614757
" 9,166","Kochi to Patna , 20 May",20:35,21:40,1 stop via Mumbai,Spicejet,2021-05-14 12:05:57.233436
" 16,817","Kochi to Thiruvananthapuram , 20 May",19:30,12:15,1 stop via New Delhi,Vistara,2021-05-14 12:06:19.707197
" 9,677","Kochi to Bhubaneswar , 20 May",19:30,09:05,1 stop via New Delhi,Vistara,2021-05-14 12:06:41.812442
" 8,615","Kochi to Bagdogra , 20 May",19:30,09:45,1 stop via New Delhi,Vistara,2021-05-14 12:07:26.913418
" 7,285","Kochi to Bagdogra , 20 May",20:35,15:15,1 stop via Mumbai,Spicejet,2021-05-14 12:07:26.913418
" 9,519","Kochi to Varanasi , 20 May",20:35,08:00,1 stop via Mumbai,Spicejet,2021-05-14 12:08:10.653743
" 9,519","Kochi to Varanasi , 20 May",20:35,17:10,1 stop via Mumbai,Spicejet,2021-05-14 12:08:10.653743
" 9,310","Kochi to Indore , 20 May",19:30,09:45,1 stop via New Delhi,Vistara,2021-05-14 12:08:33.201256
" 9,290","Kochi to Srinagar , 20 May",19:30,12:05,1 stop via New Delhi,Vistara,2021-05-14 12:09:18.310977
" 8,013","Kochi to Srinagar , 20 May",20:35,08:00,1 stop via Mumbai,Spicejet,2021-05-14 12:09:18.310977
" 9,833","Goa to New Delhi , 20 May",13:20,21:55,1 stop via Mumbai,Vistara,2021-05-14 12:13:57.708897
" 7,127","Goa to New Delhi , 20 May",15:15,23:25,1 stop via Bengaluru,Spicejet,2021-05-14 12:13:57.708897
" 7,127","Goa to New Delhi , 20 May",13:30,21:55,1 stop via Mumbai,Spicejet,2021-05-14 12:13:57.708897
" 7,127","Goa to New Delhi , 20 May",15:20,00:50,1 stop via Chennai,Spicejet,2021-05-14 12:13:57.708897
" 7,127","Goa to New Delhi , 20 May",11:25,23:30,1 stop via Hyderabad,Spicejet,2021-05-14 12:13:57.708897
" 7,127","Goa to New Delhi , 20 May",08:00,23:30,1 stop via Hyderabad,Spicejet,2021-05-14 12:13:57.708897
" 7,127","Goa to New Delhi , 20 May",17:35,09:35,1 stop via Mumbai,Spicejet,2021-05-14 12:13:57.708897
" 7,357","Goa to New Delhi , 20 May",09:55,12:25,Non stop,Spicejet,2021-05-14 12:13:57.708897
" 7,357","Goa to New Delhi , 20 May",15:00,17:45,Non stop,Spicejet,2021-05-14 12:13:57.708897
" 13,708","Goa to New Delhi , 20 May",18:00,07:45,1 stop via Ahmedabad,Spicejet,2021-05-14 12:13:57.708897
" 4,065","Goa to Mumbai , 20 May",13:20,14:45,Non stop,Vistara,2021-05-14 12:14:16.821810
" 3,904","Goa to Mumbai , 20 May",13:30,14:55,Non stop,Spicejet,2021-05-14 12:14:16.821810
" 3,904","Goa to Mumbai , 20 May",17:35,19:10,Non stop,Spicejet,2021-05-14 12:14:16.821810
" 4,836","Goa to Hyderabad , 20 May",11:25,12:55,Non stop,Spicejet,2021-05-14 12:14:40.701148
" 4,836","Goa to Hyderabad , 20 May",08:00,09:35,Non stop,Spicejet,2021-05-14 12:14:40.701148
" 5,239","Goa to Chennai , 20 May",15:15,20:55,1 stop via Bengaluru,Spicejet,2021-05-14 12:14:50.331931
" 5,239","Goa to Chennai , 20 May",11:25,22:05,1 stop via Hyderabad,Spicejet,2021-05-14 12:14:50.331931
" 5,239","Goa to Chennai , 20 May",08:00,22:05,1 stop via Hyderabad,Spicejet,2021-05-14 12:14:50.331931
