Price,Cities,departure_time,arrival_time,Airline,Cabin,Dept_city,Dept_date,arrival_city,stops,duration_time,duration,weekday,dept_hours,Dept_flights_time,optimal_hours
9090,"Kolkata to Thiruvananthapuram , 10 May",21:30,14:45,Spicejet,PE,Kolkata,10,Thiruvananthapuram ,1,-1 days +17:15:00,1035.0,0,21,Night_flight,4
7199,"Kolkata to Coimbatore , 10 May",21:30,18:05,Spicejet,PE,Kolkata,10,Coimbatore ,1,-1 days +20:35:00,1235.0,0,21,Night_flight,4
7378,"Kolkata to Srinagar , 10 May",22:00,12:45,Spicejet,PE,Kolkata,10,Srinagar ,1,-1 days +14:45:00,885.0,0,22,Night_flight,5
7145,"Goa to Bengaluru , 11 May",11:25,12:45,Spicejet,PE,Goa,11,Bengaluru ,0,0 days 01:20:00,80.0,1,11,Afternoon_flight,17
5582,"Pune to Chennai , 11 May",19:40,21:25,Spicejet,PE,Pune,11,Chennai ,0,0 days 01:45:00,105.0,1,19,Evening_flight,1
6891,"Pune to Patna , 11 May",08:35,16:55,Spicejet,PE,Pune,11,Patna ,1,0 days 08:20:00,500.0,1,8,Morning_flight,14
6149,"Pune to Varanasi , 11 May",08:35,07:45,Spicejet,PE,Pune,11,Varanasi ,1,-1 days +23:10:00,1390.0,1,8,Morning_flight,14
7238,"Guwahati to Mumbai , 11 May",17:15,20:25,Spicejet,PE,Guwahati,11,Mumbai ,0,0 days 03:10:00,190.0,1,17,Evening_flight,23
6159,"New Delhi to Mumbai , 11 May",12:50,15:00,Vistara,PE,New Delhi,11,Mumbai ,0,0 days 02:10:00,130.0,1,12,Afternoon_flight,18
6159,"New Delhi to Mumbai , 11 May",15:30,17:40,Vistara,PE,New Delhi,11,Mumbai ,0,0 days 02:10:00,130.0,1,15,Afternoon_flight,21
6663,"New Delhi to Bengaluru , 11 May",14:15,17:05,Vistara,PE,New Delhi,11,Bengaluru ,0,0 days 02:50:00,170.0,1,14,Afternoon_flight,20
6626,"New Delhi to Bengaluru , 11 May",15:10,13:20,Spicejet,PE,New Delhi,11,Bengaluru ,1,-1 days +22:10:00,1330.0,1,15,Afternoon_flight,21
6855,"New Delhi to Bengaluru , 11 May",06:15,08:25,Spicejet,PE,New Delhi,11,Bengaluru ,0,0 days 02:10:00,130.0,1,6,Morning_flight,12
5319,"New Delhi to Hyderabad , 11 May",14:45,17:00,Vistara,PE,New Delhi,11,Hyderabad ,0,0 days 02:15:00,135.0,1,14,Afternoon_flight,20
6663,"New Delhi to Chennai , 11 May",13:30,16:20,Vistara,PE,New Delhi,11,Chennai ,0,0 days 02:50:00,170.0,1,13,Afternoon_flight,19
6625,"New Delhi to Chennai , 11 May",14:50,17:15,Spicejet,PE,New Delhi,11,Chennai ,1,0 days 02:25:00,145.0,1,14,Afternoon_flight,20
