,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 4,383","Bhubaneswar to Mumbai , 27 May",18:35,20:55,Non stop,IndiGo,2021-05-09 17:43:14.822545
1," 4,383","Bhubaneswar to Mumbai , 27 May",13:10,20:20,1 stop via Kolkata,IndiGo,2021-05-09 17:43:14.822545
2," 4,383","Bhubaneswar to Mumbai , 27 May",09:40,17:35,1 stop via Hyderabad,IndiGo,2021-05-09 17:43:14.822545
3," 4,383","Bhubaneswar to Mumbai , 27 May",08:50,17:50,1 stop via New Delhi,IndiGo,2021-05-09 17:43:14.822545
4," 4,383","Bhubaneswar to Mumbai , 27 May",08:45,18:25,1 stop via Bengaluru,IndiGo,2021-05-09 17:43:14.822545
5," 4,384","Bhubaneswar to Mumbai , 27 May",10:00,17:50,1 stop via New Delhi,AirAsia,2021-05-09 17:43:14.822545
6," 4,384","Bhubaneswar to Mumbai , 27 May",14:40,00:20,1 stop via Kolkata,AirAsia,2021-05-09 17:43:14.822545
7," 4,384","Bhubaneswar to Mumbai , 27 May",19:50,06:20,1 stop via Bengaluru,AirAsia,2021-05-09 17:43:14.822545
8," 6,400","Bhubaneswar to Mumbai , 27 May",09:40,15:00,1 stop via New Delhi,Vistara,2021-05-09 17:43:14.822545
9," 9,274","Bhubaneswar to Mumbai , 27 May",07:50,16:50,1 stop via Allahabad,IndiGo,2021-05-09 17:43:14.822545
10," 9,318","Bhubaneswar to Mumbai , 27 May",21:35,09:05,1 stop via New Delhi,Air India,2021-05-09 17:43:14.822545
11," 5,013","Bhubaneswar to Bengaluru , 27 May",08:45,10:45,Non stop,IndiGo,2021-05-09 17:43:37.575977
12," 5,013","Bhubaneswar to Bengaluru , 27 May",09:40,17:25,1 stop via Hyderabad,IndiGo,2021-05-09 17:43:37.575977
13," 5,013","Bhubaneswar to Bengaluru , 27 May",13:10,21:05,1 stop via Kolkata,IndiGo,2021-05-09 17:43:37.575977
14," 5,014","Bhubaneswar to Bengaluru , 27 May",19:50,21:45,Non stop,AirAsia,2021-05-09 17:43:37.575977
15," 5,014","Bhubaneswar to Bengaluru , 27 May",09:15,14:20,1 stop via Pune,AirAsia,2021-05-09 17:43:37.575977
16," 5,014","Bhubaneswar to Bengaluru , 27 May",14:40,21:25,1 stop via Kolkata,AirAsia,2021-05-09 17:43:37.575977
17," 5,014","Bhubaneswar to Bengaluru , 27 May",10:00,18:45,1 stop via New Delhi,AirAsia,2021-05-09 17:43:37.575977
18," 7,219","Bhubaneswar to Bengaluru , 27 May",09:40,17:05,1 stop via New Delhi,Vistara,2021-05-09 17:43:37.575977
19," 7,221","Bhubaneswar to Bengaluru , 27 May",21:35,08:55,1 stop via New Delhi,Air India,2021-05-09 17:43:37.575977
20," 9,150","Bhubaneswar to Bengaluru , 27 May",07:50,18:55,1 stop via Allahabad,IndiGo,2021-05-09 17:43:37.575977
21," 4,383","Bhubaneswar to Hyderabad , 27 May",09:40,11:15,Non stop,IndiGo,2021-05-09 17:44:02.378106
22," 4,383","Bhubaneswar to Hyderabad , 27 May",13:10,22:05,1 stop via Kolkata,IndiGo,2021-05-09 17:44:02.378106
23," 4,384","Bhubaneswar to Hyderabad , 27 May",19:50,08:40,1 stop via Bengaluru,AirAsia,2021-05-09 17:44:02.378106
24," 6,400","Bhubaneswar to Hyderabad , 27 May",09:40,17:00,1 stop via New Delhi,Vistara,2021-05-09 17:44:02.378106
25," 9,331","Bhubaneswar to Hyderabad , 27 May",11:00,17:35,"3 stop via Jharsuguda,Raipur,Jagdalpur",Air India,2021-05-09 17:44:02.378106
26," 10,266","Bhubaneswar to Hyderabad , 27 May",21:35,20:35,"2 stop via New Delhi,Chennai",Air India,2021-05-09 17:44:02.378106
27," 10,266","Bhubaneswar to Hyderabad , 27 May",21:35,20:35,"2 stop via New Delhi,Chennai",Air India,2021-05-09 17:44:02.378106
28," 12,363","Bhubaneswar to Hyderabad , 27 May",21:35,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-09 17:44:02.378106
29," 12,363","Bhubaneswar to Hyderabad , 27 May",21:35,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-09 17:44:02.378106
30," 12,363","Bhubaneswar to Hyderabad , 27 May",21:35,20:45,"2 stop via New Delhi,Mumbai",Air India,2021-05-09 17:44:02.378106
31," 4,384","Bhubaneswar to Chennai , 27 May",09:40,15:20,1 stop via Hyderabad,IndiGo,2021-05-09 17:44:18.526059
32," 4,384","Bhubaneswar to Chennai , 27 May",08:45,16:10,1 stop via Bengaluru,IndiGo,2021-05-09 17:44:18.526059
33," 4,384","Bhubaneswar to Chennai , 27 May",08:50,18:35,1 stop via New Delhi,IndiGo,2021-05-09 17:44:18.526059
34," 7,219","Bhubaneswar to Chennai , 27 May",09:40,16:20,1 stop via New Delhi,Vistara,2021-05-09 17:44:18.526059
35," 7,221","Bhubaneswar to Chennai , 27 May",21:35,08:55,1 stop via New Delhi,Air India,2021-05-09 17:44:18.526059
36," 10,809","Bhubaneswar to Chennai , 27 May",10:00,08:10,"2 stop via New Delhi,Kolkata","AirAsia, IndiGo",2021-05-09 17:44:18.526059
37," 10,969","Bhubaneswar to Chennai , 27 May",08:50,16:20,1 stop via New Delhi,"IndiGo, Vistara",2021-05-09 17:44:18.526059
38," 10,969","Bhubaneswar to Chennai , 27 May",10:00,18:35,1 stop via New Delhi,"AirAsia, IndiGo",2021-05-09 17:44:18.526059
39," 12,799","Bhubaneswar to Chennai , 27 May",11:00,08:55,"3 stop via Jharsuguda,Raipur,New Delhi",Air India,2021-05-09 17:44:18.526059
40," 5,200","Bhubaneswar to Kochi , 27 May",09:15,22:20,"2 stop via Pune,Bengaluru",AirAsia,2021-05-09 17:44:53.744074
41," 6,138","Bhubaneswar to Kochi , 27 May",19:50,07:10,1 stop via Bengaluru,AirAsia,2021-05-09 17:44:53.744074
42," 6,138","Bhubaneswar to Kochi , 27 May",10:00,22:55,1 stop via New Delhi,AirAsia,2021-05-09 17:44:53.744074
43," 6,274","Bhubaneswar to Kochi , 27 May",08:45,16:40,1 stop via Bengaluru,IndiGo,2021-05-09 17:44:53.744074
44," 6,274","Bhubaneswar to Kochi , 27 May",13:10,21:45,1 stop via Kolkata,IndiGo,2021-05-09 17:44:53.744074
45," 7,882","Bhubaneswar to Kochi , 27 May",09:40,20:50,"2 stop via Hyderabad,Bengaluru","IndiGo, AirAsia",2021-05-09 17:44:53.744074
46," 7,883","Bhubaneswar to Kochi , 27 May",09:15,18:50,"2 stop via Pune,Bengaluru",AirAsia,2021-05-09 17:44:53.744074
47," 7,883","Bhubaneswar to Kochi , 27 May",10:00,22:20,"2 stop via New Delhi,Bengaluru",AirAsia,2021-05-09 17:44:53.744074
48," 7,970","Bhubaneswar to Kochi , 27 May",09:40,18:50,1 stop via New Delhi,Vistara,2021-05-09 17:44:53.744074
49," 12,019","Bhubaneswar to Kochi , 27 May",07:50,22:20,"2 stop via Allahabad,Bengaluru","IndiGo, AirAsia",2021-05-09 17:44:53.744074
50," 13,623","Bhubaneswar to Kochi , 27 May",21:35,19:15,"2 stop via New Delhi,Mumbai",Air India,2021-05-09 17:44:53.744074
