,Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
0," 8,072","Mangalore to Lucknow , 28 May",11:40,18:20,1 stop via Mumbai,IndiGo,2021-05-10 13:49:24.609957
1," 8,072","Mangalore to Lucknow , 28 May",11:40,22:00,1 stop via Mumbai,IndiGo,2021-05-10 13:49:24.609957
2," 8,684","Mangalore to Lucknow , 28 May",08:25,16:50,"2 stop via Bengaluru,Pune","Spicejet, IndiGo",2021-05-10 13:49:24.609957
3," 8,684","Mangalore to Lucknow , 28 May",08:25,19:45,"2 stop via Bengaluru,New Delhi","Spicejet, IndiGo",2021-05-10 13:49:24.609957
4," 8,684","Mangalore to Lucknow , 28 May",08:25,22:00,"2 stop via Bengaluru,Mumbai","Spicejet, IndiGo",2021-05-10 13:49:24.609957
5," 8,684","Mangalore to Lucknow , 28 May",08:25,22:15,"3 stop via Bengaluru,Goa,New Delhi","Spicejet, Go Air",2021-05-10 13:49:24.609957
6," 8,686","Mangalore to Lucknow , 28 May",08:25,21:50,"2 stop via Bengaluru,Mumbai","Spicejet, Go Air",2021-05-10 13:49:24.609957
7," 8,909","Mangalore to Lucknow , 28 May",08:25,17:10,1 stop via Bengaluru,"Spicejet, Go Air",2021-05-10 13:49:24.609957
8," 8,910","Mangalore to Lucknow , 28 May",08:25,16:15,1 stop via Bengaluru,"Spicejet, IndiGo",2021-05-10 13:49:24.609957
9," 8,911","Mangalore to Lucknow , 28 May",08:25,16:20,1 stop via Bengaluru,"Spicejet, Air India",2021-05-10 13:49:24.609957
10," 9,859","Mangalore to Lucknow , 28 May",08:25,19:40,"2 stop via Bengaluru,New Delhi","Spicejet, Air India",2021-05-10 13:49:24.609957
11," 10,665","Mangalore to Lucknow , 28 May",12:35,08:15,"3 stop via Coimbatore,Mumbai,New Delhi",Air India,2021-05-10 13:49:24.609957
12," 10,665","Mangalore to Lucknow , 28 May",12:35,08:15,"3 stop via Coimbatore,Mumbai,New Delhi",Air India,2021-05-10 13:49:24.609957
13," 7,442","Mangalore to Jaipur , 28 May",11:40,17:15,1 stop via Mumbai,IndiGo,2021-05-10 13:50:10.060352
14," 7,688","Mangalore to Jaipur , 28 May",20:00,07:35,1 stop via Mumbai,Go Air,2021-05-10 13:50:10.060352
15," 8,682","Mangalore to Jaipur , 28 May",08:25,16:45,"2 stop via Bengaluru,Pune","Spicejet, AirAsia",2021-05-10 13:50:10.060352
16," 8,682","Mangalore to Jaipur , 28 May",08:25,20:30,"2 stop via Bengaluru,Hyderabad","Spicejet, AirAsia",2021-05-10 13:50:10.060352
17," 8,682","Mangalore to Jaipur , 28 May",08:25,20:30,"2 stop via Bengaluru,Hyderabad","Spicejet, AirAsia",2021-05-10 13:50:10.060352
18," 8,682","Mangalore to Jaipur , 28 May",08:25,20:55,"2 stop via Bengaluru,Kolkata","Spicejet, IndiGo",2021-05-10 13:50:10.060352
19," 8,682","Mangalore to Jaipur , 28 May",08:25,23:10,"2 stop via Bengaluru,New Delhi","Spicejet, IndiGo",2021-05-10 13:50:10.060352
20," 8,910","Mangalore to Jaipur , 28 May",08:25,17:25,1 stop via Bengaluru,"Spicejet, IndiGo",2021-05-10 13:50:10.060352
21," 10,560","Mangalore to Jaipur , 28 May",12:35,08:55,"3 stop via Coimbatore,Mumbai,New Delhi",Air India,2021-05-10 13:50:10.060352
22," 10,560","Mangalore to Jaipur , 28 May",12:35,08:55,"3 stop via Coimbatore,Mumbai,New Delhi",Air India,2021-05-10 13:50:10.060352
23," 7,723","Mangalore to Patna , 28 May",20:40,10:10,1 stop via Hyderabad,Spicejet,2021-05-10 13:50:33.660086
24," 8,126","Mangalore to Patna , 28 May",14:30,20:45,1 stop via Bengaluru,IndiGo,2021-05-10 13:50:33.660086
25," 8,126","Mangalore to Patna , 28 May",08:25,16:40,1 stop via Bengaluru,Spicejet,2021-05-10 13:50:33.660086
26," 8,126","Mangalore to Patna , 28 May",18:40,16:40,1 stop via Bengaluru,Spicejet,2021-05-10 13:50:33.660086
27," 9,811","Mangalore to Patna , 28 May",14:30,07:25,"3 stop via Bengaluru,Mumbai,New Delhi","IndiGo, Go Air",2021-05-10 13:50:33.660086
28," 9,812","Mangalore to Patna , 28 May",12:35,07:25,"3 stop via Coimbatore,Mumbai,New Delhi","Air India, Go Air",2021-05-10 13:50:33.660086
29," 9,812","Mangalore to Patna , 28 May",11:40,07:25,"2 stop via Mumbai,New Delhi","IndiGo, Go Air",2021-05-10 13:50:33.660086
30," 10,094","Mangalore to Patna , 28 May",12:35,21:40,"2 stop via Coimbatore,Mumbai","Air India, Spicejet",2021-05-10 13:50:33.660086
31," 10,094","Mangalore to Patna , 28 May",11:40,21:40,1 stop via Mumbai,"IndiGo, Spicejet",2021-05-10 13:50:33.660086
32," 5,832","Mangalore to Thiruvananthapuram , 28 May",14:30,18:15,1 stop via Bengaluru,IndiGo,2021-05-10 13:50:49.563479
33," 7,650","Mangalore to Bhubaneswar , 28 May",08:25,16:35,"2 stop via Bengaluru,Kolkata","Spicejet, IndiGo",2021-05-10 13:51:12.494517
34," 7,650","Mangalore to Bhubaneswar , 28 May",18:40,07:30,"2 stop via Bengaluru,Kolkata","Spicejet, IndiGo",2021-05-10 13:51:12.494517
35," 7,651","Mangalore to Bhubaneswar , 28 May",08:25,14:00,1 stop via Bengaluru,"Spicejet, Air India",2021-05-10 13:51:12.494517
36," 7,651","Mangalore to Bhubaneswar , 28 May",08:25,19:20,1 stop via Bengaluru,"Spicejet, AirAsia",2021-05-10 13:51:12.494517
37," 8,298","Mangalore to Bhubaneswar , 28 May",11:40,18:05,1 stop via Mumbai,IndiGo,2021-05-10 13:51:12.494517
38," 9,563","Mangalore to Bhubaneswar , 28 May",12:35,10:20,"4 stop via Coimbatore,Mumbai,Bengaluru,Kolkata",Air India,2021-05-10 13:51:12.494517
39," 9,857","Mangalore to Bhubaneswar , 28 May",14:30,09:05,"2 stop via Bengaluru,New Delhi","IndiGo, Vistara",2021-05-10 13:51:12.494517
40," 9,857","Mangalore to Bhubaneswar , 28 May",08:25,09:05,"2 stop via Bengaluru,New Delhi","Spicejet, Vistara",2021-05-10 13:51:12.494517
41," 9,859","Mangalore to Bhubaneswar , 28 May",08:25,20:55,"2 stop via Bengaluru,New Delhi","Spicejet, Air India",2021-05-10 13:51:12.494517
42," 8,034","Mangalore to Bagdogra , 28 May",18:40,08:50,1 stop via Bengaluru,Spicejet,2021-05-10 13:51:56.767857
