Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 5,853","Kolkata to New Delhi , 24 May",15:20,17:45,Non stop,Vistara,2021-05-15 23:58:59.351445
" 5,902","Kolkata to New Delhi , 24 May",11:40,18:10,1 stop via Bagdogra,Spicejet,2021-05-15 23:58:59.351445
" 6,126","Kolkata to New Delhi , 24 May",06:20,08:45,Non stop,Spicejet,2021-05-15 23:58:59.351445
" 6,126","Kolkata to New Delhi , 24 May",20:55,23:30,Non stop,Spicejet,2021-05-15 23:58:59.351445
" 7,688","Kolkata to Mumbai , 24 May",09:10,12:00,Non stop,Spicejet,2021-05-15 23:59:24.749265
" 7,688","Kolkata to Mumbai , 24 May",19:25,22:15,Non stop,Spicejet,2021-05-15 23:59:24.749265
" 6,126","Kolkata to Bengaluru , 24 May",06:55,09:40,Non stop,Spicejet,2021-05-15 23:59:47.334380
" 6,126","Kolkata to Bengaluru , 24 May",21:30,00:20,Non stop,Spicejet,2021-05-15 23:59:47.334380
" 6,200","Kolkata to Hyderabad , 24 May",07:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-16 00:00:05.119862
" 6,428","Kolkata to Hyderabad , 24 May",22:00,23:55,Non stop,Spicejet,2021-05-16 00:00:05.119862
" 5,900","Kolkata to Chennai , 24 May",22:00,06:55,1 stop via Hyderabad,Spicejet,2021-05-16 00:00:10.094318
" 5,900","Kolkata to Chennai , 24 May",06:55,20:55,1 stop via Bengaluru,Spicejet,2021-05-16 00:00:10.094318
" 6,126","Kolkata to Chennai , 24 May",10:10,12:30,Non stop,Spicejet,2021-05-16 00:00:10.094318
" 7,689","Kolkata to Kochi , 24 May",19:25,20:05,1 stop via Mumbai,Spicejet,2021-05-16 00:00:50.778469
" 8,633","Kolkata to Goa , 24 May",10:10,14:50,1 stop via Chennai,Spicejet,2021-05-16 00:01:13.259130
" 8,633","Kolkata to Goa , 24 May",09:10,17:05,1 stop via Mumbai,Spicejet,2021-05-16 00:01:13.259130
" 8,633","Kolkata to Goa , 24 May",21:30,11:05,1 stop via Bengaluru,Spicejet,2021-05-16 00:01:13.259130
" 7,460","Kolkata to Pune , 24 May",22:00,08:05,1 stop via Hyderabad,Spicejet,2021-05-16 00:01:36.053766
" 7,460","Kolkata to Pune , 24 May",10:10,12:20,1 stop via Chennai,Spicejet,2021-05-16 00:01:36.053766
" 7,688","Kolkata to Pune , 24 May",12:10,14:40,Non stop,Spicejet,2021-05-16 00:01:36.053766
" 4,808","Kolkata to Guwahati , 24 May",06:25,15:25,1 stop via Silchar,Spicejet,2021-05-16 00:01:58.836552
" 9,090","Kolkata to Thiruvananthapuram , 24 May",21:30,17:10,1 stop via Bengaluru,Spicejet,2021-05-16 00:03:06.874347
" 7,199","Kolkata to Coimbatore , 24 May",21:30,18:05,1 stop via Bengaluru,Spicejet,2021-05-16 00:04:56.010042
" 7,378","Kolkata to Srinagar , 24 May",06:20,11:55,1 stop via New Delhi,Spicejet,2021-05-16 00:05:09.659969
" 7,378","Kolkata to Srinagar , 24 May",20:55,08:10,1 stop via New Delhi,Spicejet,2021-05-16 00:05:09.659969
" 7,579","Kolkata to Amritsar , 24 May",15:20,14:50,1 stop via New Delhi,Vistara,2021-05-16 00:05:56.577567
" 9,940","Kolkata to Amritsar , 24 May",06:20,20:50,1 stop via New Delhi,Spicejet,2021-05-16 00:05:56.577567
" 9,940","Kolkata to Amritsar , 24 May",20:55,20:50,1 stop via New Delhi,Spicejet,2021-05-16 00:05:56.577567
