Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 9,338","Port Blair to New Delhi , 28 May",08:40,23:30,1 stop via Kolkata,Spicejet,2021-05-17 18:50:26.473467
" 9,338","Port Blair to New Delhi , 28 May",08:40,08:45,1 stop via Kolkata,Spicejet,2021-05-17 18:50:26.473467
" 9,338","Port Blair to Mumbai , 28 May",08:40,22:15,1 stop via Kolkata,Spicejet,2021-05-17 18:50:40.129096
" 5,588","Port Blair to Kolkata , 28 May",08:40,11:10,Non stop,Spicejet,2021-05-17 18:51:38.975463
