Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 6,159","New Delhi to Mumbai , 20 May",12:50,15:00,Non stop,Vistara,2021-05-14 09:57:56.897394
" 6,159","New Delhi to Mumbai , 20 May",15:30,17:40,Non stop,Vistara,2021-05-14 09:57:56.897394
" 5,326","New Delhi to Mumbai , 20 May",07:00,15:05,1 stop via Dehradun,Spicejet,2021-05-14 09:57:56.897394
" 5,326","New Delhi to Mumbai , 20 May",05:45,06:35,1 stop via Ahmedabad,Spicejet,2021-05-14 09:57:56.897394
" 5,595","New Delhi to Mumbai , 20 May",07:20,09:35,Non stop,Spicejet,2021-05-14 09:57:56.897394
" 5,595","New Delhi to Mumbai , 20 May",18:45,21:05,Non stop,Spicejet,2021-05-14 09:57:56.897394
" 5,595","New Delhi to Mumbai , 20 May",19:45,22:05,Non stop,Spicejet,2021-05-14 09:57:56.897394
" 6,663","New Delhi to Bengaluru , 20 May",14:15,17:05,Non stop,Vistara,2021-05-14 09:58:42.357191
" 6,626","New Delhi to Bengaluru , 20 May",07:25,13:20,1 stop via Patna,Spicejet,2021-05-14 09:58:42.357191
" 6,855","New Delhi to Bengaluru , 20 May",06:15,08:50,Non stop,Spicejet,2021-05-14 09:58:42.357191
" 6,855","New Delhi to Bengaluru , 20 May",20:05,22:55,Non stop,Spicejet,2021-05-14 09:58:42.357191
" 5,319","New Delhi to Hyderabad , 20 May",14:45,17:00,Non stop,Vistara,2021-05-14 09:59:27.530059
" 5,363","New Delhi to Hyderabad , 20 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-14 09:59:27.530059
" 5,363","New Delhi to Hyderabad , 20 May",05:45,16:05,1 stop via Jabalpur,Spicejet,2021-05-14 09:59:27.530059
" 5,594","New Delhi to Hyderabad , 20 May",20:20,22:30,Non stop,Spicejet,2021-05-14 09:59:27.530059
" 5,594","New Delhi to Hyderabad , 20 May",16:35,20:30,1 stop via Pune,Spicejet,2021-05-14 09:59:27.530059
" 6,663","New Delhi to Chennai , 20 May",13:30,16:20,Non stop,Vistara,2021-05-14 10:00:14.856482
" 6,625","New Delhi to Chennai , 20 May",15:10,23:10,1 stop via Patna,Spicejet,2021-05-14 10:00:14.856482
" 6,625","New Delhi to Chennai , 20 May",07:00,16:50,1 stop via Goa,Spicejet,2021-05-14 10:00:14.856482
" 6,625","New Delhi to Chennai , 20 May",20:20,06:55,1 stop via Hyderabad,Spicejet,2021-05-14 10:00:14.856482
" 6,855","New Delhi to Chennai , 20 May",18:55,21:35,Non stop,Spicejet,2021-05-14 10:00:14.856482
" 6,855","New Delhi to Chennai , 20 May",06:10,09:10,Non stop,Spicejet,2021-05-14 10:00:14.856482
" 5,319","New Delhi to Kolkata , 20 May",06:15,08:20,Non stop,Vistara,2021-05-14 10:00:37.727974
" 5,369","New Delhi to Kolkata , 20 May",09:25,14:20,1 stop via Bagdogra,Spicejet,2021-05-14 10:00:37.727974
" 5,369","New Delhi to Kolkata , 20 May",13:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-14 10:00:37.727974
