Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 18,232","New Delhi to Mumbai , 08 May",07:00,09:05,Non stop,Air India,2021-05-03 20:38:54.065084
" 18,232","New Delhi to Mumbai , 08 May",10:40,12:50,Non stop,Air India,2021-05-03 20:38:54.065084
" 18,232","New Delhi to Mumbai , 08 May",20:00,22:10,Non stop,Air India,2021-05-03 20:38:54.065084
" 18,232","New Delhi to Mumbai , 08 May",09:00,11:15,Non stop,Air India,2021-05-03 20:38:54.065084
" 18,232","New Delhi to Mumbai , 08 May",19:00,21:15,Non stop,Air India,2021-05-03 20:38:54.065084
" 18,232","New Delhi to Mumbai , 08 May",15:05,18:15,1 stop via Indore,Air India,2021-05-03 20:38:54.065084
" 18,232","New Delhi to Mumbai , 08 May",17:50,21:35,1 stop via Aurangabad,Air India,2021-05-03 20:38:54.065084
" 21,816","New Delhi to Mumbai , 08 May",12:50,15:00,Non stop,Vistara,2021-05-03 20:38:54.065084
" 21,816","New Delhi to Mumbai , 08 May",15:30,17:40,Non stop,Vistara,2021-05-03 20:38:54.065084
" 23,675","New Delhi to Mumbai , 08 May",13:20,17:50,1 stop via Udaipur,Air India,2021-05-03 20:38:54.065084
" 27,551","New Delhi to Mumbai , 08 May",13:20,18:20,1 stop via Varanasi,Vistara,2021-05-03 20:38:54.065084
" 31,705","New Delhi to Mumbai , 08 May",09:45,23:30,1 stop via Hyderabad,Air India,2021-05-03 20:38:54.065084
" 31,705","New Delhi to Mumbai , 08 May",08:20,23:30,1 stop via Hyderabad,Air India,2021-05-03 20:38:54.065084
" 32,418","New Delhi to Mumbai , 08 May",07:05,17:20,1 stop via Hyderabad,Vistara,2021-05-03 20:38:54.065084
" 34,091","New Delhi to Mumbai , 08 May",09:45,17:05,1 stop via Chennai,Air India,2021-05-03 20:38:54.065084
" 34,091","New Delhi to Mumbai , 08 May",06:00,17:05,1 stop via Chennai,Air India,2021-05-03 20:38:54.065084
" 41,147","New Delhi to Mumbai , 08 May",07:05,13:25,1 stop via Lucknow,Air India,2021-05-03 20:38:54.065084
" 41,239","New Delhi to Mumbai , 08 May",12:50,19:15,1 stop via Rajkot,Air India,2021-05-03 20:38:54.065084
" 18,825","New Delhi to Bengaluru , 08 May",21:15,23:55,Non stop,Air India,2021-05-03 20:39:16.718113
" 18,825","New Delhi to Bengaluru , 08 May",06:10,08:55,Non stop,Air India,2021-05-03 20:39:16.718113
" 18,825","New Delhi to Bengaluru , 08 May",09:45,12:30,Non stop,Air India,2021-05-03 20:39:16.718113
" 18,825","New Delhi to Bengaluru , 08 May",13:30,16:15,Non stop,Air India,2021-05-03 20:39:16.718113
" 18,826","New Delhi to Bengaluru , 08 May",08:05,10:50,Non stop,Vistara,2021-05-03 20:39:16.718113
" 18,826","New Delhi to Bengaluru , 08 May",14:15,17:05,Non stop,Vistara,2021-05-03 20:39:16.718113
" 38,056","New Delhi to Bengaluru , 08 May",16:55,23:20,1 stop via Kolkata,Air India,2021-05-03 20:39:16.718113
" 38,056","New Delhi to Bengaluru , 08 May",06:50,23:20,1 stop via Kolkata,Air India,2021-05-03 20:39:16.718113
" 41,147","New Delhi to Bengaluru , 08 May",07:05,19:50,1 stop via Lucknow,Air India,2021-05-03 20:39:16.718113
" 52,191","New Delhi to Bengaluru , 08 May",09:40,20:45,1 stop via Guwahati,Vistara,2021-05-03 20:39:16.718113
" 16,776","New Delhi to Hyderabad , 08 May",08:20,10:30,Non stop,Air India,2021-05-03 20:39:43.318828
" 16,776","New Delhi to Hyderabad , 08 May",09:45,11:55,Non stop,Air India,2021-05-03 20:39:43.318828
" 16,776","New Delhi to Hyderabad , 08 May",21:25,23:35,Non stop,Air India,2021-05-03 20:39:43.318828
" 17,292","New Delhi to Hyderabad , 08 May",14:45,17:00,Non stop,Vistara,2021-05-03 20:39:43.318828
" 17,292","New Delhi to Hyderabad , 08 May",07:05,09:25,Non stop,Vistara,2021-05-03 20:39:43.318828
" 33,161","New Delhi to Hyderabad , 08 May",15:05,20:45,"2 stop via Indore,Mumbai",Air India,2021-05-03 20:39:43.318828
" 33,161","New Delhi to Hyderabad , 08 May",09:00,20:45,1 stop via Mumbai,Air India,2021-05-03 20:39:43.318828
" 33,161","New Delhi to Hyderabad , 08 May",07:00,20:45,1 stop via Mumbai,Air India,2021-05-03 20:39:43.318828
" 35,816","New Delhi to Hyderabad , 08 May",21:15,12:25,"3 stop via Bengaluru,Kolkata,Bhubaneswar",Air India,2021-05-03 20:39:43.318828
" 38,056","New Delhi to Hyderabad , 08 May",06:50,21:15,1 stop via Kolkata,Air India,2021-05-03 20:39:43.318828
" 38,056","New Delhi to Hyderabad , 08 May",20:15,12:25,"2 stop via Kolkata,Bhubaneswar",Air India,2021-05-03 20:39:43.318828
" 19,016","New Delhi to Chennai , 08 May",06:00,08:55,Non stop,Air India,2021-05-03 20:40:05.959367
" 19,016","New Delhi to Chennai , 08 May",09:45,12:40,Non stop,Air India,2021-05-03 20:40:05.959367
" 19,016","New Delhi to Chennai , 08 May",20:40,23:35,Non stop,Air India,2021-05-03 20:40:05.959367
" 33,307","New Delhi to Chennai , 08 May",20:00,10:55,1 stop via Mumbai,Air India,2021-05-03 20:40:05.959367
