Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time,Cabin
"6,625","New Delhi to Chennai , 11 May",14:50,17:15,1 stop via Jharsuguda,Spicejet,2021-05-10 18:48:37,PE
"5,319","New Delhi to Kolkata , 11 May",06:15,08:20,Non stop,Vistara,2021-05-10 18:49:10,PE
"7,895","New Delhi to Kochi , 11 May",15:40,18:50,Non stop,Vistara,2021-05-10 18:49:33,PE
"13,724","New Delhi to Goa , 11 May",06:15,11:05,1 stop via Bengaluru,Spicejet,2021-05-10 18:49:56,PE
"5,319","New Delhi to Pune , 11 May",10:25,12:35,Non stop,Vistara,2021-05-10 18:50:13,PE
"6,689","New Delhi to Guwahati , 11 May",10:15,12:45,Non stop,Spicejet,2021-05-10 18:50:29,PE
"3,975","New Delhi to Lucknow , 11 May",13:35,14:50,Non stop,Vistara,2021-05-10 18:50:50,PE
"4,965","New Delhi to Patna , 11 May",15:10,16:55,Non stop,Spicejet,2021-05-10 18:51:27,PE
"9,568","New Delhi to Thiruvananthapuram , 11 May",06:15,14:45,1 stop via Bengaluru,Spicejet,2021-05-10 18:51:49,PE
"5,319","New Delhi to Bhubaneswar , 11 May",07:00,09:05,Non stop,Vistara,2021-05-10 18:52:12,PE
"4,790","New Delhi to Bagdogra , 11 May",07:50,09:45,Non stop,Vistara,2021-05-10 18:52:57,PE
"5,389","New Delhi to Bagdogra , 11 May",09:25,11:35,Non stop,Spicejet,2021-05-10 18:52:57,PE
"5,075","New Delhi to Srinagar , 11 May",11:20,12:45,Non stop,Spicejet,2021-05-10 18:54:50,PE
"8,088","New Delhi to Mangalore , 11 May",06:15,08:05,1 stop via Bengaluru,Spicejet,2021-05-10 18:56:55,PE
"9,239","New Delhi to Port Blair , 11 May",06:15,11:20,1 stop via Kolkata,Vistara,2021-05-10 18:57:18,PE
"8,414","New Delhi to Port Blair , 11 May",18:20,08:15,1 stop via Kolkata,Spicejet,2021-05-10 18:57:18,PE
"6,147","Mumbai to New Delhi , 11 May",19:45,21:55,Non stop,Vistara,2021-05-10 18:58:17,PE
"6,147","Mumbai to New Delhi , 11 May",10:25,12:40,Non stop,Vistara,2021-05-10 18:58:17,PE
"5,350","Mumbai to New Delhi , 11 May",22:50,07:45,1 stop via Ahmedabad,Spicejet,2021-05-10 18:58:17,PE
"8,890","Mumbai to Bengaluru , 11 May",10:25,17:05,1 stop via New Delhi,Vistara,2021-05-10 18:58:48,PE
"8,890","Mumbai to Bengaluru , 11 May",19:45,17:05,1 stop via New Delhi,Vistara,2021-05-10 18:58:48,PE
"7,980","Mumbai to Hyderabad , 11 May",10:25,17:00,1 stop via New Delhi,Vistara,2021-05-10 18:59:11,PE
